Roll Number, Payoff Condition, Trial Number, Total Reward, Repeat Choices
006, Equal Means, 4, 346.30430147652714, 1
006, Equal Means, 6, 439.848426002838, 1
006, Equal Means, 8, 566.2182550247124, 2
006, Equal Means, 10, 696.5008303519048, 4
006, Equal Means, 12, 831.5596936615602, 6
006, Equal Means, 14, 978.9685489431862, 8
006, Equal Means, 16, 1134.8747702195853, 10
006, Equal Means, 18, 1284.7635328947558, 12
006, IOWA, 0, 53.542085071599786, 0
006, IOWA, 2, 154.78109918226528, 1
006, IOWA, 4, 297.5031117653437, 2
006, IOWA, 6, 447.26079252718387, 4
006, IOWA, 8, 586.4131246942687, 5
006, IOWA, 10, 729.0655665155062, 7
006, IOWA, 12, 880.9338797157764, 9
006, IOWA, 14, 1044.039019429874, 11
006, IOWA, 16, 1202.0987818267656, 13
006, IOWA, 18, 1337.4162776239014, 14
006, Equal Means, 0, 54.78993859247223, 0
006, Equal Means, 2, 185.24575547254082, 0
006, Equal Means, 4, 288.77506180990315, 0
006, Equal Means, 6, 429.85275630967493, 1
006, Equal Means, 8, 570.7368348719737, 3
006, Equal Means, 10, 715.2382355833147, 5
006, Equal Means, 12, 859.5994554272086, 7
006, Equal Means, 14, 982.3588548000985, 7
006, Equal Means, 16, 1116.1898831292558, 9
006, Equal Means, 18, 1251.2626615292183, 11
006, IOWA, 0, 67.58801413928407, 0
006, IOWA, 2, 175.8505703330335, 0
006, IOWA, 4, 307.3887468056271, 1
006, IOWA, 6, 443.0463322243671, 3
006, IOWA, 8, 605.7942897978519, 5
006, IOWA, 10, 765.2767154438329, 7
006, IOWA, 12, 911.194161026537, 9
006, IOWA, 14, 1044.3713231473132, 11
006, IOWA, 16, 1174.8999845658384, 13
006, IOWA, 18, 1350.0125731982273, 15
006, High Var, 0, 70.39276641349558, 0
006, High Var, 2, 203.5685721191076, 0
006, High Var, 4, 369.1984986974067, 2
006, High Var, 6, 512.7991216777883, 4
006, High Var, 8, 642.3662889148995, 6
006, High Var, 10, 783.6447599408596, 8
006, High Var, 12, 932.2773218443016, 10
006, High Var, 14, 1059.0631169283956, 12
006, High Var, 16, 1197.6185292420535, 14
006, High Var, 18, 1348.9689005535563, 16
007, IOWA, 0, 55.011542254013044, 0
007, IOWA, 2, 210.3706635801148, 1
007, IOWA, 4, 366.8551777462594, 1
007, IOWA, 6, 521.6628725360792, 1
007, IOWA, 8, 675.4646715449629, 2
007, IOWA, 10, 815.1689716208797, 2
007, IOWA, 12, 936.9168816215149, 3
007, IOWA, 14, 1084.9103353084702, 3
007, IOWA, 16, 1210.1440809646626, 4
007, IOWA, 18, 1335.7790947830592, 5
007, IOWA, 0, 48.086152083150736, 0
007, IOWA, 2, 168.52860379147185, 0
007, IOWA, 4, 289.0806850500085, 1
007, IOWA, 6, 430.3711533146646, 2
007, IOWA, 8, 542.7605464661863, 2
007, IOWA, 10, 683.7433325620534, 4
007, IOWA, 12, 790.6053901618975, 4
007, IOWA, 14, 889.668070668837, 4
007, IOWA, 16, 985.4631995629368, 6
007, IOWA, 18, 1125.8040268576365, 7
007, High Var, 0, 64.31987735486534, 0
007, High Var, 2, 183.97887279839108, 0
007, High Var, 4, 322.4098607981157, 2
007, High Var, 6, 421.1198191822497, 2
007, High Var, 8, 560.9579675929455, 2
007, High Var, 10, 680.3892274605138, 3
007, High Var, 12, 803.2124911449905, 3
007, High Var, 14, 968.7772277564287, 4
007, High Var, 16, 1059.9624384488163, 5
007, High Var, 18, 1146.4019200029597, 7
007, IOWA, 0, 58.69767334607428, 0
007, IOWA, 2, 155.1739862766651, 0
007, IOWA, 4, 277.7258041021998, 1
007, IOWA, 6, 423.7526982246284, 3
007, IOWA, 8, 540.8542775026228, 4
007, IOWA, 10, 657.4128094354478, 4
007, IOWA, 12, 786.2430815507226, 6
007, IOWA, 14, 926.2025184369485, 8
007, IOWA, 16, 1069.155825162732, 10
007, IOWA, 18, 1183.7549093124267, 11
007, Equal Means, 0, 48.67642403570459, 0
